date,home,away,home_goals,away_goals
2019-01-20,Barcelona,Leganes,3,1
2019-01-21,Eibar,Espanol,3,0
2019-01-26,Atletico de Madrid,Getafe,2,0
2019-01-26,Sevilla,Levante,5,0
2019-01-26,Valencia,Villarreal,3,0
2019-01-26,Leganes,Eibar,2,2
2019-01-27,Atletico de Bilbao,Betis,1,0
2019-01-27,Girona,Barcelona,0,2
2019-01-27,Espanol,Real Madrid,2,4
2019-01-27,Real Sociedad,Huesca,0,0
2019-01-27,Valladolid,Celta,2,1
2019-01-28,Alaves,Rayo Vallecano,0,1
2019-02-01,Huesca,Valladolid,4,0
2019-02-02,Celta,Sevilla,1,0
2019-02-02,Real Sociedad,Atletico de Bilbao,2,1
2019-02-02,Barcelona,Valencia,2,2
2019-02-02,Levante,Getafe,0,0
2019-02-03,Eibar,Girona,3,0
2019-02-03,Real Madrid,Alaves,3,0
2019-02-03,Villarreal,Espanol,2,2
2019-02-03,Betis,Atletico de Madrid,1,0
2019-02-04,Rayo Vallecano,Leganes,1,2
2019-02-08,Valladolid,Villarreal,0,0
2019-02-09,Girona,Huesca,0,2
2019-02-09,Getafe,Celta,3,1
2019-02-09,Atletico de Madrid,Real Madrid,1,3
2019-02-09,Espanol,Rayo Vallecano,2,1
2019-02-10,Atletico de Bilbao,Barcelona,0,0
2019-02-10,Sevilla,Eibar,2,2
2019-02-10,Leganes,Betis,3,0
2019-02-10,Valencia,Real Sociedad,0,0
2019-02-11,Alaves,Levante,2,0
2019-02-15,Eibar,Getafe,2,2
2019-02-16,Rayo Vallecano,Atletico de Madrid,0,1
2019-02-16,Real Sociedad,Leganes,3,0
2019-02-16,Barcelona,Valladolid,1,0
2019-02-16,Celta,Levante,1,4
2019-02-17,Betis,Alaves,1,1
2019-02-17,Valencia,Espanol,0,0
2019-02-17,Villarreal,Sevilla,3,0
2019-02-17,Real Madrid,Girona,1,2
2019-02-18,Huesca,Atletico de Bilbao,0,1
2019-02-22,Espanol,Huesca,1,1
2019-02-23,Alaves,Celta,0,0
2019-02-23,Getafe,Rayo Vallecano,2,1
2019-02-23,Sevilla,Barcelona,2,4
2019-02-23,Atletico de Bilbao,Eibar,1,0
2019-02-24,Leganes,Valencia,1,1
2019-02-24,Atletico de Madrid,Villarreal,2,0
2019-02-24,Levante,Real Madrid,1,2
2019-02-24,Valladolid,Betis,0,2
2019-02-25,Girona,Real Sociedad,0,0
2019-03-01,Rayo Vallecano,Girona,0,2
2019-03-02,Huesca,Sevilla,2,1
2019-03-02,Espanol,Valladolid,3,1
2019-03-02,Real Madrid,Barcelona,0,1
2019-03-02,Villarreal,Alaves,1,2
2019-03-03,Betis,Getafe,1,2
2019-03-03,Valencia,Atletico de Bilbao,2,0
2019-03-03,Real Sociedad,Atletico de Madrid,0,2
2019-03-03,Eibar,Celta,1,0
2019-03-04,Leganes,Levante,1,0
2019-03-08,Atletico de Bilbao,Espanol,1,1
2019-03-09,Alaves,Eibar,1,1
2019-03-09,Atletico de Madrid,Leganes,1,0
2019-03-09,Barcelona,Rayo Vallecano,3,1
2019-03-09,Getafe,Huesca,2,1
2019-03-10,Levante,Villarreal,0,2
2019-03-10,Celta,Betis,0,1
2019-03-10,Valladolid,Real Madrid,1,4
2019-03-10,Sevilla,Real Sociedad,5,2
2019-03-10,Girona,Valencia,2,3
2019-03-15,Real Sociedad,Levante,1,1
2019-03-16,Huesca,Alaves,1,3
2019-03-16,Real Madrid,Celta,2,0
2019-03-16,Atletico de Bilbao,Atletico de Madrid,2,0
2019-03-16,Leganes,Girona,0,2
2019-03-17,Valencia,Getafe,0,0
2019-03-17,Betis,Barcelona,1,4
2019-03-17,Espanol,Sevilla,0,1
2019-03-17,Eibar,Valladolid,1,2
2019-03-17,Villarreal,Rayo Vallecano,3,1
2019-03-29,Girona,Atletico de Bilbao,1,2
2019-03-30,Getafe,Leganes,0,2
2019-03-30,Barcelona,Espanol,2,0
2019-03-30,Alaves,Atletico de Madrid,0,4
2019-03-30,Celta,Villarreal,3,2
2019-03-31,Sevilla,Valencia,0,1
2019-03-31,Valladolid,Real Sociedad,1,1
2019-03-31,Rayo Vallecano,Betis,1,1
2019-03-31,Real Madrid,Huesca,3,2
2019-03-31,Levante,Eibar,2,2
2019-04-02,Atletico de Madrid,Girona,2,0
2019-04-02,Espanol,Getafe,1,1
2019-04-02,Villarreal,Barcelona,4,4
2019-04-03,Valencia,Real Madrid,2,1
2019-04-03,Eibar,Rayo Vallecano,2,1
2019-04-03,Huesca,Celta,3,3
2019-04-03,Atletico de Bilbao,Levante,3,2
2019-04-04,Leganes,Valladolid,1,0
2019-04-04,Sevilla,Alaves,2,0
2019-04-04,Real Sociedad,Betis,2,1
2019-04-06,Rayo Vallecano,Valencia,2,0
2019-04-06,Real Madrid,Eibar,2,1
2019-04-06,Girona,Espanol,1,2
2019-04-06,Barcelona,Atletico de Madrid,2,0
2019-04-07,Celta,Real Sociedad,3,1
2019-04-07,Alaves,Leganes,1,1
2019-04-07,Betis,Villarreal,2,1
2019-04-07,Levante,Huesca,2,2
2019-04-07,Getafe,Atletico de Bilbao,1,0
2019-04-07,Valladolid,Sevilla,0,2
2019-04-13,Sevilla,Betis,3,2
2019-04-13,Huesca,Barcelona,0,0
2019-04-13,Atletico de Madrid,Celta,2,0
2019-04-13,Espanol,Alaves,2,1
2019-04-14,Valladolid,Getafe,2,2
2019-04-14,Atletico de Bilbao,Rayo Vallecano,3,2
2019-04-14,Girona,Villarreal,0,1
2019-04-14,Real Sociedad,Eibar,1,1
2019-04-14,Valencia,Levante,3,1
2019-04-15,Leganes,Real Madrid,1,1
2019-04-19,Alaves,Valladolid,2,2
2019-04-20,Eibar,Atletico de Madrid,0,1
2019-04-20,Celta,Girona,2,1
2019-04-20,Rayo Vallecano,Huesca,0,0
2019-04-20,Barcelona,Real Sociedad,2,1
2019-04-21,Betis,Valencia,1,2
2019-04-21,Real Madrid,Atletico de Bilbao,3,0
2019-04-21,Levante,Espanol,2,2
2019-04-21,Villarreal,Leganes,2,1
2019-04-21,Getafe,Sevilla,3,0
2019-04-23,Valladolid,Girona,1,0
2019-04-23,Huesca,Eibar,2,0
2019-04-23,Alaves,Barcelona,0,2
2019-04-24,Levante,Betis,4,0
2019-04-24,Leganes,Atletico de Bilbao,0,1
2019-04-24,Atletico de Madrid,Valencia,3,2
2019-04-24,Espanol,Celta,1,1
2019-04-25,Sevilla,Rayo Vallecano,5,0
2019-04-25,Real Sociedad,Villarreal,0,1
2019-04-25,Getafe,Real Madrid,0,0
2019-04-27,Atletico de Madrid,Valladolid,1,0
2019-04-27,Barcelona,Levante,1,0
2019-04-27,Atletico de Bilbao,Alaves,1,1
2019-04-27,Leganes,Celta,0,0
